,index,NAME,YEAR,DIRECTOR,RATINGS,RATING_SCORES,REVIEWS,neg,neu,pos,compound
0,0,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0, honor in the individual is virtue honor in a society is madness ***,0.144,0.398,0.458,0.743
1,1,Harakiri,1962,Masaki Kobayashi, ★★★★½ ,4.5," Firstly, I must apologise for holding off on this for so long. This is remarkable. It’s a film that raises a lot of issues about whether fervent loyalty to the code of honour is more valuable than humanity. And how that is unjustifiable. The execution is masterful, and the pay-off is even better. The resolution is entirely cathartic. It’s also incredibly well-choreographed, touching, and surprisingly exciting. I do think that I will need another watch in order to fully digest everything, though. ***",0.0,0.717,0.283,0.9781
2,2,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," God damn what an impeccable film. Not dated in the least, if you tried to tell this same story now, 60 years later, this would still be the best way to tell it, shot for shot, line for line.I sometimes get intimidated by the fact that there is so much great film, both past and present, that I could never find time to see it all. Japan alone has way too many incredible filmmakers with extensive filmographies I’ve barely scraped the surface of. I don’t know what was in the water over there throughout the 20th century, but it must’ve been good. ***",0.048,0.855,0.097,0.7498
3,3,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," Probably the greatest film ever.. a film about honour, valour, poverty, hunger , justice and the politics.. a fable that is as relevant today as when it was made.. totally blown ***",0.131,0.591,0.278,0.7906
4,4,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," Immediately pulls you in with its captivating simultaneous story-telling, which rings of mystery and intrigue as the plot thickens and builds. There’s so much beauty in intimate and heartbreaking dialogue, and this films display of powerful rhetoric, equally as thoughtful as it can be emotionally jarring, is absolute class. Everything builds as an eerie and heart-pounding score adds layers of uncertainty to an already nervous experience. This all builds to our final few sequences which mesmerized me and solidified Harakiri as not only the greatest samurai film ever made, but one of the best films ever made. ***",0.083,0.807,0.109,0.7055
5,5,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," ""Who can fathom the depths of another man's heart?"" ***",0.0,1.0,0.0,0.0
6,6,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," wait can we normalize calling something you’ve only seen once, your favorite movie of all time? ***",0.0,0.842,0.158,0.4588
7,7,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," Went in with high expectations and boy were they fucking fulfilled. The word masterpiece is thrown around a lot, often too much, but in the case of Harakiri its 110% justified. Simply astonishing. ***",0.0,0.786,0.214,0.799
8,8,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," it's frankly quite embarrassing how often I find myself at a loss for words, but it's a consolation to know that when this film is concerned, words probably wouldn't even come close to doing it justice anyway ***",0.089,0.796,0.114,0.4595
9,9,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," ""...a man of some acquaintance to me.""my first masaki kobayashi film dares me to review it, knowing i cant. some shots tell more stories, reveal more history, and immortalize myths better than any scene involving dialogue ever could. i want my heart back, masaki kobayashi. ***",0.0,0.909,0.091,0.4939
10,10,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0, a japanese action samurai movie about a dude trying to kill himself the director made this movie for me he told me himself!! ***,0.201,0.799,0.0,-0.7418
11,11,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0, Ain't got much to say here to be honest. It's just one of the greatest films ever made isn't it?If you've seen it then you know and if you haven't just do yourself a favour and go watch this classic. ***,0.0,0.781,0.219,0.886
12,12,Harakiri,1962,Masaki Kobayashi, ★★★★½ ,4.5, Both Spider-verses are better than this94/100 ***,0.0,0.674,0.326,0.4404
13,13,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," The resolve of the broken in the face of expiry. A partition of prestige veils the sanctimonious. One man willing to sacrifice his life for his own personal cause; Hanshirō dedicated everything to a morality that ruthlessly betrayed him, and in setting out to take his revenge, he reveals the moral hypocrisies of Bushidō, which prove to be more damning to his antagonists than any amount of malefic bloodshed he could inflict.But blood will be spilled. It will rain crimson at the feet of their Gods, and no attempts at swift concealment can ever suture the gaping wounds revealed by the truth. ***",0.152,0.766,0.082,-0.8553
14,14,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," How dare Masaki Kobayashi steal the climatic scene from Kill Bill without giving it credit? What a shameless man. This film should be avoided at all- just joking. Hara-kiri is japanese filmmaking at its best, fascinating use of lighting and music. 20 minutes in and I've already decided that this film is definitely going into my top 10 best films of all time list, exceeding both Seven Samurai and Rashomon. Going to give Takashi Miike's remake a try. I fucking love samurais, man. ***",0.157,0.631,0.212,0.7829
15,15,Harakiri,1962,Masaki Kobayashi, ★★★★ ,4.0," Great movie but every time they name-dropped the ""Sengoku clan"" all I could think about was the one and only Nadeko Sengoku from the Monogatari seriesEdit: here's another gif cause why not 😌 ***",0.0,0.924,0.076,0.3716
16,16,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0," Literally I just wanna kill myself by harakiri, because I have no words for this movie; this is just perfectly a masterpiece! ***",0.219,0.508,0.273,0.4003
17,17,Harakiri,1962,Masaki Kobayashi, ★★★★½ ,4.5, this jidaigeki film is so beautifully shot—delightsome cinematography. the technicalities are so ahead of the time. plot is also captivating enough; it skillfully introduces you to the culture of japan back then. you can definitely see that this film serves as a major inspiration to a roster of contemporary filmmakers nowadays. i might watch some samurai films more because of this. ***,0.0,0.838,0.162,0.8966
18,18,Harakiri,1962,Masaki Kobayashi, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  I actually thought Hanshiro Tsugumo would win the end battle.  ***,0.105,0.648,0.247,0.5423
